t,u,v,w,p,q,r,phi,theta,psi
0.000000000000000000e+00,7.799940309474141031e+01,-8.637901353679906802e-02,2.541170854339830365e-02,1.475719429422022236e-02,-1.662384516821641817e-02,-2.023918791900984962e-02,-1.714647569482998235e-01,-3.896020767354044928e-02,7.853981633974482790e-01
1.000000000000000000e+00,7.765557983705514289e+01,-3.568745208958941095e-01,-9.428145425196031937e+00,2.277111633720224279e-02,-2.702377441096723287e-01,-1.686499815108515044e-02,-1.574476054604743991e-01,-2.119919309213693925e-01,7.969512453011884379e-01
2.000000000000000000e+00,7.739944559005654412e+01,-2.708299434389567217e-01,-1.778233879741512879e+01,3.482839119974705938e-02,-1.841214733336002662e-01,-2.857431862491673774e-02,-1.293731006021932306e-01,-4.592711608423226677e-01,8.105867283129508660e-01
3.000000000000000000e+00,8.053455862440608826e+01,2.768910539624444000e-01,-1.515677615444466930e+01,-3.113150276540196850e-03,-5.274390692963110833e-02,-1.160175897053909375e-02,-1.050889405181246183e-01,-5.698347316625279602e-01,7.990076732873176990e-01
4.000000000000000000e+00,8.485730417553502036e+01,-9.826293715057998757e-02,-1.176946160126353291e+01,-5.829644556405821736e-03,-6.970709202766475765e-02,-4.013677702416445538e-03,-1.173434303442692228e-01,-6.206465779968299845e-01,8.008453705060836203e-01
5.000000000000000000e+00,8.896108143832807968e+01,7.354338877179357470e-02,-1.390258872779545563e+01,7.103438047843678785e-03,-1.160410679158847963e-01,-1.747069115952241611e-02,-1.105808113970883633e-01,-7.193620370533898578e-01,7.998398065206188123e-01
6.000000000000000000e+00,9.351195356249998270e+01,4.893065586352840501e-01,-1.632194704819932340e+01,-3.711923137313649645e-02,-8.691556515556292384e-02,-8.231209954037080204e-04,-1.271606211399247122e-01,-8.260489126999993603e-01,8.020224560773415723e-01
7.000000000000000000e+00,9.898277443711548074e+01,1.534856406313203081e-01,-1.621377394334594513e+01,-2.788580421147884847e-02,-5.576616365721715624e-02,-6.017507016113143002e-03,-1.760898166158265943e-01,-8.931475122018732726e-01,8.176341891340556112e-01
8.000000000000000000e+00,1.046878137429932849e+02,6.431006732404601633e-01,-1.669888142104311157e+01,-4.833815389220395137e-02,-5.974911430551449465e-02,-8.190388739363863371e-03,-2.078034934483226071e-01,-9.507682310069240916e-01,8.181568111280010935e-01
9.000000000000000000e+00,1.104205936599542497e+02,5.351285261359093326e-01,-1.812187462792190118e+01,-6.910868788141102947e-02,-5.411833338891995637e-02,4.196374608944589309e-04,-2.928228616183138899e-01,-1.007968579559718636e+00,8.419185379326141749e-01
1.000000000000000000e+01,1.163544725650638725e+02,7.244549411895341295e-01,-1.892934217084367532e+01,-7.001412387530792092e-02,-3.977310312878043486e-02,-8.490301074828315864e-03,-3.735035792239352337e-01,-1.053662606354222486e+00,8.607636576727787370e-01
1.100000000000000000e+01,1.223190475240337349e+02,8.054889512211330649e-01,-1.975525863289378847e+01,-9.566934160417886468e-02,-3.628240160940646164e-02,-5.513629283921305446e-04,-4.827266418493169065e-01,-1.089224398443126685e+00,8.864750670293665147e-01
1.200000000000000000e+01,1.282056798217023186e+02,9.225951559515777056e-01,-2.081201983338668171e+01,-9.929473820209015755e-02,-2.919576417192526127e-02,-6.243832110915288613e-03,-6.040558528979689257e-01,-1.119991576898833330e+00,9.165469010452840237e-01
1.300000000000000000e+01,1.340401617561894909e+02,9.883564037788458156e-01,-2.166949503786499065e+01,-1.177683461334530779e-01,-2.297534077642420652e-02,-1.745104875023779922e-03,-7.441092486328806377e-01,-1.141976853814674175e+00,9.482679247937161326e-01
1.400000000000000000e+01,1.397388166087447985e+02,1.136449767151672452e+00,-2.260240988423415232e+01,-1.272738944434455288e-01,-1.748321541566814213e-02,-3.742343796868098822e-03,-8.914660489175503244e-01,-1.158734143250766069e+00,9.782080647616657743e-01
1.500000000000000000e+01,1.452931778484118581e+02,1.170339145521293478e+00,-2.349029737597173195e+01,-1.388307791660449431e-01,-1.216109419930022466e-02,-2.015941548354241615e-03,-1.052259125884469571e+00,-1.168679639897088229e+00,1.006177549027509777e+00
1.600000000000000000e+01,1.506789428127436850e+02,1.314596641842529889e+00,-2.434616156124549491e+01,-1.521762198149435308e-01,-6.907825928778412068e-03,-6.228629112896809372e-04,-1.214706151971059578e+00,-1.174624705769107935e+00,1.025780592783733347e+00
1.700000000000000000e+01,1.558795288785613877e+02,1.377627871766297307e+00,-2.519414884221855999e+01,-1.608341930647854134e-01,-2.027613283180103223e-03,-9.528007434375911772e-05,-1.381747278980187899e+00,-1.176002576054018256e+00,1.036998247366031967e+00
1.800000000000000000e+01,1.608911830538069410e+02,1.471122201688820130e+00,-2.599598522041170057e+01,-1.729854293200949744e-01,2.602250441334415590e-03,2.593339538642036850e-03,-1.548533091530995387e+00,-1.174705804315612667e+00,1.036287025663402028e+00
1.900000000000000000e+01,1.657057175010452568e+02,1.572505012816567183e+00,-2.677623579431384471e+01,-1.833090932703479170e-01,7.110151007734892038e-03,4.645804141277329151e-03,-1.714059528524694009e+00,-1.171754388608325037e+00,1.023166065041438477e+00
2.000000000000000000e+01,1.703239121758430201e+02,1.653536794447295843e+00,-2.752575123349762976e+01,-1.929686010847490585e-01,1.116573681830256015e-02,7.248860915584234496e-03,-1.878138557214752868e+00,-1.167975799605039056e+00,9.968576111470814904e-01
2.100000000000000000e+01,1.747475154764243257e+02,1.743654573639137784e+00,-2.824087666112180628e+01,-2.033029361296920245e-01,1.486332920234038554e-02,1.069005716573471175e-02,-2.040266409929283320e+00,-1.164682654858883781e+00,9.574739208892878439e-01
2.200000000000000000e+01,1.789791939348716312e+02,1.836554238584826360e+00,-2.892579774608791254e+01,-2.131319269272753669e-01,1.812701163952330427e-02,1.433222594331047192e-02,-2.200657908899700477e+00,-1.162818740546701868e+00,9.055131419689136374e-01
2.300000000000000000e+01,1.830232959692417865e+02,1.924210948248094022e+00,-2.958014885128464755e+01,-2.224885504350301302e-01,2.081883579996601438e-02,1.827649420425371887e-02,-2.359694394756359781e+00,-1.163240793085246638e+00,8.415031196198988761e-01
2.400000000000000000e+01,1.868844710898412700e+02,2.010369524897298366e+00,-3.020240916430541489e+01,-2.317072058235735699e-01,2.287830672825045750e-02,2.257715035903555892e-02,-2.517702412519056132e+00,-1.166797971422600000e+00,7.662077227047249250e-01
2.500000000000000000e+01,1.905667455536283512e+02,2.095627182750410711e+00,-3.079318914405948959e+01,-2.406404284021635975e-01,2.426228211008508995e-02,2.702914754885709855e-02,-2.674958231648842943e+00,-1.174196585325509190e+00,6.804543842200885262e-01
2.600000000000000000e+01,1.940734180171938306e+02,2.177450094929925140e+00,-3.135302504743696161e+01,-2.491126405390479692e-01,2.492914900520813021e-02,3.144257308455454536e-02,-2.831628058251833391e+00,-1.185996396638188344e+00,5.850265704334384198e-01
2.700000000000000000e+01,1.974067887245188615e+02,2.254157200927480176e+00,-3.188192430379802289e+01,-2.570644258273979688e-01,2.487484133962112459e-02,3.566689068712582122e-02,-2.987744175176673345e+00,-1.202609490938175263e+00,4.806989645377607312e-01
2.800000000000000000e+01,2.005679674612571262e+02,2.324837725716982550e+00,-3.237996854764348598e+01,-2.644415258516865097e-01,2.414391460443180912e-02,3.953530694950845026e-02,-3.143202092450370522e+00,-1.224267812506319109e+00,3.682293579751508283e-01
2.900000000000000000e+01,2.035569647411234939e+02,2.388536248470547019e+00,-3.284748243906481235e+01,-2.711675139199881124e-01,2.282694424269883504e-02,4.287485053545763564e-02,-3.297762449868625101e+00,-1.250996774394397049e+00,2.483145032521367757e-01
3.000000000000000000e+01,2.063730109335818383e+02,2.444327574867950936e+00,-3.328496081647125493e+01,-2.771777452306354861e-01,2.105637270228868582e-02,4.553947146580002159e-02,-3.451050733513727931e+00,-1.282602859255727035e+00,1.215400053839246347e-01
3.100000000000000000e+01,2.090150370496343442e+02,2.491638241879076343e+00,-3.369304968366323294e+01,-2.824408563190756172e-01,1.899908638898241062e-02,4.743101044758270268e-02,-3.602530213103256607e+00,-1.318673416581917390e+00,-1.169849085837499844e-02
3.200000000000000000e+01,2.114822689915793319e+02,2.530392203778362159e+00,-3.407258300330858702e+01,-2.869623059630938555e-01,1.684303092658461648e-02,4.850958808107305037e-02,-3.751391448259914885e+00,-1.358590668737339247e+00,-1.513588874609596568e-01
3.300000000000000000e+01,2.137748713195064738e+02,2.561015228452224957e+00,-3.442460538872381903e+01,-2.907822728359286679e-01,1.477944308584974720e-02,4.879805655674181175e-02,-3.896199141027617774e+00,-1.401560189329370099e+00,-2.981525548223029620e-01
3.400000000000000000e+01,2.158945560394265044e+02,2.584381329837818875e+00,-3.475036709847167060e+01,-2.939717391674634417e-01,1.298402823187058339e-02,4.838015257005645609e-02,-4.033681495018202057e+00,-1.446648738728920192e+00,-4.547877321048921506e-01
3.500000000000000000e+01,2.178450711577803531e+02,2.601724992931556013e+00,-3.505130204946915740e+01,-2.966262355753650493e-01,1.160020077721272101e-02,4.739164802206856375e-02,-4.153170790189354200e+00,-1.492814881750719858e+00,-6.315438012995642225e-01
3.600000000000000000e+01,2.196325000694310461e+02,2.614524294605328869e+00,-3.532899694542612679e+01,-2.988573880013675188e-01,1.072671077660734482e-02,4.600570752958094839e-02,-4.183881118315853520e+00,-1.538789648396505116e+00,-8.989904465714442239e-01
3.700000000000000000e+01,2.212653299168769934e+02,2.624369309235691450e+00,-3.558515457856796615e+01,-3.007835084461216724e-01,1.041098127575301041e-02,4.441496791284345325e-02,-1.811464227999932008e+00,-1.555414807378985076e+00,-3.571413431337632449e+00
3.800000000000000000e+01,2.227542773396476434e+02,2.632815837923711211e+00,-3.582154674212674195e+01,-3.025201809925411323e-01,1.064793960333471241e-02,4.281302280485670825e-02,-1.643345120340450993e+00,-1.512964089418019187e+00,-4.041449633285098209e+00
3.900000000000000000e+01,2.241118926195657650e+02,2.641284543028662668e+00,-3.603996756273061663e+01,-3.041726764841909403e-01,1.138480372087520044e-02,4.137760908896374185e-02,-1.742806474294646524e+00,-1.472498280959470218e+00,-4.245966333077380028e+00
4.000000000000000000e+01,2.253519861027057800e+02,2.650946518752952841e+00,-3.624217624000232263e+01,-3.058290197465013405e-01,1.252864303109208453e-02,4.025668488403262579e-02,-1.868733562946019777e+00,-1.435622710930915646e+00,-4.426277655221053209e+00
4.100000000000000000e+01,2.264889379892327383e+02,2.662656625226647034e+00,-3.642983645404609661e+01,-3.075552964664384215e-01,1.395736103170076674e-02,3.955838759233638868e-02,-2.002004643653248372e+00,-1.403116684957946392e+00,-4.601715818025068572e+00
4.200000000000000000e+01,2.275369595143158676e+02,2.676910088603182025e+00,-3.660446438478964382e+01,-3.093925462670713555e-01,1.553168744487170259e-02,3.934486617243009021e-02,-2.137763879213696594e+00,-1.375600510245100550e+00,-4.777322757774763673e+00
4.300000000000000000e+01,2.285093759382989163e+02,2.693827212627356360e+00,-3.676738140776054564e+01,-3.113553746699749269e-01,1.710768687504134536e-02,3.962990580596794515e-02,-2.274041411377096811e+00,-1.353564842448690797e+00,-4.955199369131893405e+00
4.400000000000000000e+01,2.294179937526570825e+02,2.713165692410777652e+00,-3.691968312770372052e+01,-3.134324117258276976e-01,1.854900483664114960e-02,4.038019125422141059e-02,-2.409660122309346342e+00,-1.337370056691148168e+00,-5.136574553956942069e+00
4.500000000000000000e+01,2.302726057185364539e+02,2.734360664578717071e+00,-3.706222783891611527e+01,-3.155887676656655705e-01,1.973820271360691297e-02,4.152005922065536703e-02,-2.543615802597362308e+00,-1.327238970608298319e+00,-5.322409034231548652e+00
4.600000000000000000e+01,2.310806741677692173e+02,2.756591614728734818e+00,-3.719564637094330806e+01,-3.177705403730426981e-01,2.058652833472570179e-02,4.293957152750984413e-02,-2.674811006213736242e+00,-1.323245835553039651e+00,-5.513655207443672879e+00
4.700000000000000000e+01,2.318472175635364181e+02,2.778873219903622793e+00,-3.732037251087042762e+01,-3.199112376536553115e-01,2.104134748482842585e-02,4.450559327412479532e-02,-2.801878537863792040e+00,-1.325302626137012219e+00,-5.711438212610124410e+00
4.800000000000000000e+01,2.325749078353233585e+02,2.800163870369095864e+00,-3.743668975458467685e+01,-3.219396657718965882e-01,2.109039558989594595e-02,4.607522952833786878e-02,-2.922995908708142743e+00,-1.333143551157855322e+00,-5.917257052713825516e+00
4.900000000000000000e+01,2.332643667986865523e+02,2.819481627144876157e+00,-3.754478763109629114e+01,-3.237884807211252047e-01,2.076210651902413509e-02,4.751051223398140150e-02,-3.035618189648683352e+00,-1.346308034395829578e+00,-6.133277135709510830e+00
5.000000000000000000e+01,2.339146302202329650e+02,2.836014082945243597e+00,-3.764481965408621988e+01,-3.254023209731773947e-01,2.012161696269202521e-02,4.869277475929536386e-02,-3.136031395163180857e+00,-1.364119918506581541e+00,-6.362809300705969839e+00
5.100000000000000000e+01,2.345237298615223267e+02,2.849207487583181209e+00,-3.773695537928799126e+01,-3.267443630852454595e-01,1.926262533610023295e-02,4.953489437599024880e-02,-3.218559420629304668e+00,-1.385654545205357246e+00,-6.611138150400432067e+00
5.200000000000000000e+01,2.350893299398039176e+02,2.858822558418146809e+00,-3.782142091591563826e+01,-3.278003363132176440e-01,1.829598542523865057e-02,4.998968674704463294e-02,-3.274144321646904388e+00,-1.409672250122049997e+00,-6.886975083784682816e+00
5.300000000000000000e+01,2.356093477496149546e+02,2.864949536497798821e+00,-3.789852488122254215e+01,-3.285794732864614209e-01,1.733653800658468622e-02,5.005325407042549024e-02,-3.287995460065616271e+00,-1.434471283207766845e+00,-7.204835993621736101e+00
5.400000000000000000e+01,2.360824906579106539e+02,2.867982006520582772e+00,-3.796866934937877858e+01,-3.291124367991593580e-01,1.649002704329286320e-02,4.976291855269985437e-02,-3.237100620144528040e+00,-1.457582802021244239e+00,-7.587547241779622809e+00
5.500000000000000000e+01,2.365086535331634252e+02,2.868555827342635034e+00,-3.803234718704364781e+01,-3.294467784822385781e-01,1.584189633807809791e-02,4.919029106028568327e-02,-3.095205107588283155e+00,-1.475339084707914861e+00,-8.061272408746479101e+00
5.600000000000000000e+01,2.368891400818208695e+02,2.867464421696888088e+00,-3.809012810162312945e+01,-3.296408140953713817e-01,1.544934071342019856e-02,4.843077753995165408e-02,-2.867611936577893594e+00,-1.483222721492589491e+00,-8.620707076032545046e+00
5.700000000000000000e+01,2.372266951254511866e+02,2.865563721184257506e+00,-3.814263599525397552e+01,-3.297568907294864959e-01,1.533733643512451630e-02,4.759123620703726437e-02,-2.633774639717532562e+00,-1.478965840965200895e+00,-9.186471946686269874e+00
5.800000000000000000e+01,2.375253584973644649e+02,2.863679378599656822e+00,-3.819052023151435549e+01,-3.298549213231455335e-01,1.549869290684222252e-02,4.677752876294283269e-02,-2.477855781775051280e+00,-1.465354442982434335e+00,-9.674533929901786067e+00
5.900000000000000000e+01,2.377901713353429045e+02,2.862526221395882864e+00,-3.823442352345298190e+01,-3.299868305632416843e-01,1.589761475454621806e-02,4.608342657387450719e-02,-2.410158166868706431e+00,-1.447268146031591707e+00,-1.007475116739099974e+01
6.000000000000000000e+01,2.380267796551209187e+02,2.862646700070339278e+00,-3.827494943419107187e+01,-3.301923156802452075e-01,1.647592310768938861e-02,4.558189527417275816e-02,-2.405012394849812551e+00,-1.428405941698782877e+00,-1.041296112742478641e+01
6.100000000000000000e+01,2.382409872669467177e+02,2.864371938422195285e+00,-3.831263269382499459e+01,-3.304961397872245854e-01,1.716095726808766764e-02,4.531933351128100695e-02,-2.438594841641327449e+00,-1.410990029217866093e+00,-1.071314005360190791e+01
6.200000000000000000e+01,2.384383106293039418e+02,2.867806477280289812e+00,-3.834791554479032527e+01,-3.309070269102774575e-01,1.787420031745877089e-02,4.531295642320780359e-02,-2.495281235686795274e+00,-1.396315139592760213e+00,-1.099103047018481760e+01
6.300000000000000000e+01,2.386235832307523026e+02,2.872835975475060533e+00,-3.838113289338954104e+01,-3.314181305323607440e-01,1.853977362026683687e-02,4.555123437712359225e-02,-2.565263133505736537e+00,-1.385133115791192360e+00,-1.125651084349104458e+01
6.400000000000000000e+01,2.388006479863983600e+02,2.879155706131755643e+00,-3.841250807932870970e+01,-3.320089652843518091e-01,1.909206709903129781e-02,4.599709939261025643e-02,-2.642063303501434035e+00,-1.377845545148179029e+00,-1.151607234051919981e+01
6.500000000000000000e+01,2.389721643187905897e+02,2.886316390526660669e+00,-3.844215970944819105e+01,-3.326485983933511470e-01,1.948188925337100696e-02,4.659347501381316120e-02,-2.720972573215317603e+00,-1.374594249921000433e+00,-1.177438060295856204e+01
